Id;Time;Time_year;Species;Gear;Catch;Unit;Unit2
OH0213U1;Sasa;2021;Plectorhinchus_gibbus;Spear;10;number;
OH0213U1;Sasa;2021;Octopus;Spear;10;number;
OH0213U1;Sasa;2021;Squids;Spear;30;number;
OH0213U1;Sasa;2021;Anguilliformes;Spear;5;number;
OH0213U1;Sasa;2021;Mullidae;Spear;3;number;
OH0213U1;Sasa;2021;Scarus_ghobban;Spear;3;number;
OH0213U1;Sasa;2021;Acanthurus_spp;Spear;1;number;
OH0213U1;Kati_kati;1996;Plectorhinchus_gibbus;Spear;none;none;
OH0213U1;Kati_kati;1996;Octopus;Spear;none;none;
OH0213U1;Kati_kati;1996;Squids;Spear;none;none;
OH0213U1;Kati_kati;1996;Anguilliformes;Spear;none;none;
OH0213U1;Kati_kati;1996;Mullidae;Spear;none;none;
OH0213U1;Kati_kati;1996;Scarus_ghobban;Spear;none;none;
OH0213U1;Kati_kati;1996;Acanthurus_spp;Spear;none;none;
OH0213U1;Aliopanza;1971;Plectorhinchus_gibbus;Spear;50;number;
OH0213U1;Aliopanza;1971;Octopus;Spear;40;number;
OH0213U1;Aliopanza;1971;Squids;Spear;40;number;
OH0213U1;Aliopanza;1971;Anguilliformes;Spear;15;number;
OH0213U1;Aliopanza;1971;Mullidae;Spear;10;number;
OH0213U1;Aliopanza;1971;Scarus_ghobban;Spear;8;number;
OH0213U1;Aliopanza;1971;Acanthurus_spp;Spear;4;number;
OH0213U2;Sasa;2021;Carangidae;Handline;5;number;
OH0213U2;Sasa;2021;Lutjanus_fulviflamma;Handline;3;number;
OH0213U2;Sasa;2021;Serranidae;Handline;1;number;
OH0213U2;Sasa;2021;Sphyraenidae;Handline;3;number;
OH0213U2;Kati_kati;2011;Carangidae;Handline;none;none;
OH0213U2;Kati_kati;2011;Lutjanus_fulviflamma;Handline;none;none;
OH0213U2;Kati_kati;2011;Serranidae;Handline;none;none;
OH0213U2;Kati_kati;2011;Sphyraenidae;Handline;none;none;
OH0213U2;Aliopanza;2001;Carangidae;Handline;15;number;
OH0213U2;Aliopanza;2001;Lutjanus_fulviflamma;Handline;8;number;
OH0213U2;Aliopanza;2001;Serranidae;Handline;18;number;
OH0213U2;Aliopanza;2001;Sphyraenidae;Handline;20;number;
OH0213U3;Sasa;2021;Lethrinus_mahsena;Floatnet;360;number;
OH0213U3;Sasa;2021;Lethrinus_harak;Floatnet;360;number;
OH0213U3;Kati_kati;1996;Lethrinus_mahsena;Floatnet;none;none;
OH0213U3;Kati_kati;1996;Lethrinus_harak;Floatnet;none;none;
OH0213U3;Aliopanza;1971;Lethrinus_mahsena;Floatnet;900;number;
OH0213U3;Aliopanza;1971;Lethrinus_harak;Floatnet;900;number;
OH0213U4;Sasa;2021;Octopus;Spear;5;number;
OH0213U4;Sasa;2021;Anguilliformes;Spear;2;number;
OH0213U4;Sasa;2021;Crabs_Lobsters;Spear;7;number;
OH0213U4;Sasa;2021;Plectorhinchus_gibbus;Spear;13;number;
OH0213U4;Sasa;2021;Acanthurus_spp;Spear;3;number;
OH0213U4;Sasa;2021;Plectorhinchus_gaterinus;Spear;20;number;
OH0213U4;Sasa;2021;Scarus_ghobban;Spear;10;number;
OH0213U4;Sasa;2021;Plectorhinchus_gibbus;Spear;10;number;
OH0213U4;Sasa;2021;Kyphosidae;Spear;5;number;
OH0213U4;Sasa;2021;Diodontidae;Spear;3;number;
OH0213U4;Kati_kati;2012.5;Octopus;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Anguilliformes;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Crabs_Lobsters;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Plectorhinchus_gibbus;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Acanthurus_spp;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Plectorhinchus_gaterinus;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Scarus_ghobban;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Plectorhinchus_gibbus;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Kyphosidae;Spear;none;none;
OH0213U4;Kati_kati;2012.5;Diodontidae;Spear;none;none;
OH0213U4;Aliopanza;2004;Octopus;Spear;20;number;
OH0213U4;Aliopanza;2004;Anguilliformes;Spear;20;number;
OH0213U4;Aliopanza;2004;Crabs_Lobsters;Spear;7;number;
OH0213U4;Aliopanza;2004;Plectorhinchus_gibbus;Spear;20;number;
OH0213U4;Aliopanza;2004;Acanthurus_spp;Spear;20;number;
OH0213U4;Aliopanza;2004;Plectorhinchus_gaterinus;Spear;50;number;
OH0213U4;Aliopanza;2004;Scarus_ghobban;Spear;25;number;
OH0213U4;Aliopanza;2004;Kyphosidae;Spear;10;number;
OH0213U4;Aliopanza;2004;Kyphosidae;Spear;7;number;
OH0213U4;Aliopanza;2004;Diodontidae;Spear;30;number;
OH0213U5;Sasa;2021;Octopus;Spear;40;number;
OH0213U5;Sasa;2021;Anguilliformes;Spear;20;number;
OH0213U5;Kati_kati;1998.5;Octopus;Spear;none;none;
OH0213U5;Kati_kati;1998.5;Anguilliformes;Spear;none;none;
OH0213U5;Aliopanza;1976;Octopus;Spear;8;number;
OH0213U5;Aliopanza;1976;Anguilliformes;Spear;2;number;
OH0214C6;Sasa;2021;Lethrinus_harak;Dragnet;300;number;
OH0214C6;Sasa;2021;Siganus_stellatus;Dragnet;300;number;
OH0214C6;Sasa;2021;Acanthurus_spp;Dragnet;700;number;
OH0214C6;Sasa;2021;Squids;Dragnet;50;number;
OH0214C6;Sasa;2021;Lethrinus_lentjan;Dragnet;200;number;
OH0214C6;Sasa;2021;Lutjanus_fulviflamma;Dragnet;100;number;
OH0214C6;Sasa;2021;Mugilidae;Dragnet;150;number;
OH0214C6;Kati_kati;2017.5;Lethrinus_harak;Dragnet;none;none;
OH0214C6;Kati_kati;2017.5;Siganus_stellatus;Dragnet;none;none;
OH0214C6;Kati_kati;2017.5;Acanthurus_spp;Dragnet;none;none;
OH0214C6;Kati_kati;2017.5;Squids;Dragnet;none;none;
OH0214C6;Kati_kati;2017.5;Lethrinus_lentjan;Dragnet;none;none;
OH0214C6;Kati_kati;2017.5;Lutjanus_fulviflamma;Dragnet;none;none;
OH0214C6;Kati_kati;2017.5;Mugilidae;Dragnet;none;none;
OH0214C6;Aliopanza;2014;Lethrinus_harak;Dragnet;1000;number;
OH0214C6;Aliopanza;2014;Siganus_sutor;Dragnet;700;number;
OH0214C6;Aliopanza;2014;Acanthurus_spp;Dragnet;700;number;
OH0214C6;Aliopanza;2014;Squids;Dragnet;100;number;
OH0214C6;Aliopanza;2014;Lethrinus_lentjan;Dragnet;500;number;
OH0214C6;Aliopanza;2014;Lutjanus_fulviflamma;Dragnet;550;number;
OH0214C6;Aliopanza;2014;Mugilidae;Dragnet;1500;number;
OH0214C7;Sasa;2021;Octopus;Longline;20;number;
OH0214C7;Sasa;2021;Squids;Longline;70;number;
OH0214C7;Kati_kati;2011;Octopus;Longline;none;none;
OH0214C7;Kati_kati;2011;Squids;Longline;none;none;
OH0214C7;Aliopanza;2001;Octopus;Longline;60;number;
OH0214C7;Aliopanza;2001;Squids;Longline;200;number;
OH0214C8;Sasa;2021;Lethrinus_harak;Dragnet;100;number;
OH0214C8;Sasa;2021;Lutjanus_fulviflamma;Dragnet;40;number;
OH0214C8;Sasa;2021;Lethrinus_lentjan;Dragnet;100;number;
OH0214C8;Sasa;2021;Lethrinus_mahsena;Dragnet;300;number;
OH0214C8;Sasa;2021;Siganus_sutor;Dragnet;90;number;
OH0214C8;Sasa;2021;Leptoscarus_vaigiensis;Dragnet;200;number;
OH0214C8;Kati_kati;2011;Lethrinus_harak;Dragnet;none;none;
OH0214C8;Kati_kati;2011;Lutjanus_fulviflamma;Dragnet;none;none;
OH0214C8;Kati_kati;2011;Lethrinus_lentjan;Dragnet;none;none;
OH0214C8;Kati_kati;2011;Lethrinus_mahsena;Dragnet;none;none;
OH0214C8;Kati_kati;2011;Siganus_sutor;Dragnet;none;none;
OH0214C8;Kati_kati;2011;Leptoscarus_vaigiensis;Dragnet;none;none;
OH0214C8;Aliopanza;2001;Lethrinus_harak;Dragnet;400;number;
OH0214C8;Aliopanza;2001;Lutjanus_fulviflamma;Dragnet;500;number;
OH0214C8;Aliopanza;2001;Lethrinus_lentjan;Dragnet;300;number;
