Id;Species;Not_at_all;Occassionally;Often;Main_species;Sum;Gear
OH0213U1;Siganus_sutor;1;0;0;0;1;none
OH0213U1;Siganus_stellatus;1;0;0;0;1;none
OH0213U1;Lethrinus_lentjan;1;0;0;0;1;none
OH0213U1;Lethrinus_borbonicus;0;1;0;0;1;Handline
OH0213U1;Lethrinus_harak;0;1;0;0;1;Handline
OH0213U1;Lethrinus_variegatus;0;1;0;0;1;Handline
OH0213U1;Lethrinus_mahsena;0;1;0;0;1;Handline
OH0213U1;Monodactylus_argentus;1;0;0;0;1;none
OH0213U1;Lutjanus_fulviflamma;0;1;0;0;1;Handline
OH0213U1;Scarus_ghobban;0;1;0;0;1;Spear
OH0213U1;Hipposcarus_harid;0;1;0;0;1;Handline
OH0213U1;Calatomus_carolinus;1;0;0;0;1;none
OH0213U1;Leptoscarus_vaigiensis;1;0;0;0;1;none
OH0213U1;Plectorhinchus_gibbus;0;0;1;0;1;Spear
OH0213U1;Acanthurus_spp;0;0;1;0;1;Spear
OH0213U1;Serranidae;0;0;1;0;1;Spear
OH0213U1;Mullidae;0;0;1;0;1;Spear
OH0213U1;Balistidae;1;0;0;0;1;none
OH0213U1;Mugilidae;1;0;0;0;1;none
OH0213U1;Belonidae;1;0;0;0;1;none
OH0213U1;Chirocentridae;1;0;0;0;1;none
OH0213U1;Sphyraenidae;0;1;0;0;1;Spear
OH0213U1;Caesionidae;1;0;0;0;1;none
OH0213U1;Sardinella_spp;1;0;0;0;1;none
OH0213U1;Rhinobatidae;1;0;0;0;1;none
OH0213U1;Octopus;0;0;1;0;1;Spear
OH0213U1;Squids;0;0;1;0;1;Handline
OH0213U1;Crabs_Lobsters;0;0;1;0;1;Spear
OH0213U1;Snails;1;0;0;0;1;none
OH0213U1;Anguilliformes;0;0;1;0;1;Spear
OH0213U1;Kolekole;1;0;0;0;1;none
OH0213U1;Changu mkubwa;1;0;0;0;1;none
OH0213U2;Siganus_sutor;1;0;0;0;1;none
OH0213U2;Siganus_stellatus;1;0;0;0;1;none
OH0213U2;Lethrinus_lentjan;0;1;0;0;1;Handline
OH0213U2;Lethrinus_borbonicus;0;1;0;0;1;Handline
OH0213U2;Lethrinus_harak;0;1;0;0;1;Handline
OH0213U2;Lethrinus_variegatus;1;0;0;0;1;none
OH0213U2;Lethrinus_mahsena;0;1;0;0;1;Handline
OH0213U2;Monodactylus_argentus;1;0;0;0;1;none
OH0213U2;Lutjanus_fulviflamma;0;0;1;0;1;Handline
OH0213U2;Scarus_ghobban;1;0;0;0;1;none
OH0213U2;Hipposcarus_harid;1;0;0;0;1;none
OH0213U2;Calatomus_carolinus;1;0;0;0;1;none
OH0213U2;Leptoscarus_vaigiensis;1;0;0;0;1;none
OH0213U2;Plectorhinchus_gibbus;0;1;0;0;1;none
OH0213U2;Acanthurus_spp;1;0;0;0;1;none
OH0213U2;Serranidae;0;1;0;0;1;none
OH0213U2;Mullidae;0;1;0;0;1;none
OH0213U2;Balistidae;0;1;0;0;1;none
OH0213U2;Mugilidae;1;0;0;0;1;none
OH0213U2;Belonidae;1;0;0;0;1;none
OH0213U2;Chirocentridae;1;0;0;0;1;none
OH0213U2;Sphyraenidae;0;1;0;0;1;Handline
OH0213U2;Caesionidae;1;0;0;0;1;none
OH0213U2;Sardinella_spp;1;0;0;0;1;none
OH0213U2;Rhinobatidae;1;0;0;0;1;none
OH0213U2;Octopus;0;1;0;0;1;Handline
OH0213U2;Squids;0;1;0;0;1;Handline
OH0213U2;Crabs_Lobsters;1;0;0;0;1;none
OH0213U2;Snails;1;0;0;0;1;none
OH0213U2;Anguilliformes;0;1;0;0;1;none
OH0213U2;Kolekole;0;0;1;0;1;Handline
OH0213U2;Changu mkubwa;1;0;0;0;1;none
OH0213U3;Siganus_sutor;0;0;1;0;1;Floatnet
OH0213U3;Siganus_stellatus;0;1;0;0;1;Floatnet
OH0213U3;Lethrinus_lentjan;0;0;1;0;1;Floatnet
OH0213U3;Lethrinus_borbonicus;0;0;1;0;1;Floatnet
OH0213U3;Lethrinus_harak;0;0;1;0;1;Floatnet
OH0213U3;Lethrinus_variegatus;1;0;0;0;1;none
OH0213U3;Lethrinus_mahsena;0;0;1;0;1;Floatnet
OH0213U3;Monodactylus_argentus;0;1;0;0;1;Floatnet
OH0213U3;Lutjanus_fulviflamma;0;1;0;0;1;Floatnet
OH0213U3;Scarus_ghobban;0;1;0;0;1;Floatnet
OH0213U3;Hipposcarus_harid;0;1;0;0;1;Floatnet
OH0213U3;Calatomus_carolinus;0;1;0;0;1;Floatnet
OH0213U3;Leptoscarus_vaigiensis;0;1;0;0;1;Floatnet
OH0213U3;Plectorhinchus_gibbus;0;1;0;0;1;Floatnet
OH0213U3;Acanthurus_spp;0;1;0;0;1;Floatnet
OH0213U3;Serranidae;0;0;1;0;1;longline
OH0213U3;Mullidae;1;0;0;0;1;none
OH0213U3;Balistidae;0;1;0;0;1;Floatnet
OH0213U3;Mugilidae;0;1;0;0;1;Floatnet
OH0213U3;Belonidae;0;1;0;0;1;Floatnet
OH0213U3;Chirocentridae;0;0;1;0;1;Floatnet
OH0213U3;Sphyraenidae;0;1;0;0;1;Floatnet
OH0213U3;Caesionidae;0;0;1;0;1;Floatnet
OH0213U3;Sardinella_spp;1;0;0;0;1;none
OH0213U3;Rhinobatidae;0;1;0;0;1;Floatnet
OH0213U3;Octopus;1;0;0;0;1;none
OH0213U3;Squids;0;0;1;0;1;Floatnet
OH0213U3;Crabs_Lobsters;1;0;0;0;1;none
OH0213U3;Snails;1;0;0;0;1;none
OH0213U3;Anguilliformes;0;1;0;0;1;Longline
OH0213U3;Kolekole;0;0;0;0;0;none
OH0213U3;Changu mkubwa;0;0;1;0;1;Floatnet
OH0213U4;Siganus_sutor;0;1;0;0;1;Spear
OH0213U4;Siganus_stellatus;0;1;0;0;1;Spear
OH0213U4;Lethrinus_lentjan;1;0;0;0;1;none
OH0213U4;Lethrinus_borbonicus;1;0;0;0;1;none
OH0213U4;Lethrinus_harak;1;0;0;0;1;none
OH0213U4;Lethrinus_variegatus;1;0;0;0;1;none
OH0213U4;Lethrinus_mahsena;1;0;0;0;1;none
OH0213U4;Monodactylus_argentus;0;1;0;0;1;Spear
OH0213U4;Lutjanus_fulviflamma;0;1;0;0;1;Spear
OH0213U4;Scarus_ghobban;0;0;1;0;1;Spear
OH0213U4;Hipposcarus_harid;1;0;0;0;1;none
OH0213U4;Calatomus_carolinus;1;0;0;0;1;none
OH0213U4;Leptoscarus_vaigiensis;1;0;0;0;1;none
OH0213U4;Plectorhinchus_gibbus;0;0;1;0;1;Spear
OH0213U4;Acanthurus_spp;0;0;1;0;1;Spear
OH0213U4;Serranidae;0;0;1;0;1;Spear
OH0213U4;Mullidae;0;0;1;0;1;Spear
OH0213U4;Balistidae;0;0;1;0;1;Spear
OH0213U4;Mugilidae;0;1;0;0;1;Spear
OH0213U4;Belonidae;1;0;0;0;1;none
OH0213U4;Chirocentridae;1;0;0;0;1;none
OH0213U4;Sphyraenidae;1;0;0;0;1;none
OH0213U4;Caesionidae;1;0;0;0;1;none
OH0213U4;Sardinella_spp;1;0;0;0;1;none
OH0213U4;Rhinobatidae;1;0;0;0;1;none
OH0213U4;Octopus;0;0;1;0;1;Spear
OH0213U4;Squids;0;1;0;0;1;Spear
OH0213U4;Crabs_Lobsters;0;0;1;0;1;Spear
OH0213U4;Snails;1;0;0;0;1;none
OH0213U4;Anguilliformes;1;0;0;0;1;none
OH0213U4;Kolekole;1;0;0;0;1;none
OH0213U4;Changu mkubwa;1;0;0;0;1;none
OH0213U5;Siganus_sutor;0;1;0;0;1;Handline
OH0213U5;Siganus_stellatus;1;0;0;0;1;none
OH0213U5;Lethrinus_lentjan;1;0;0;0;1;none
